matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
11,5,2nd,4 0 0 2 4 4,14,0,14,0,Shikhar Dhawan,26,15,Prithvi Shaw,31,15,Mohammed Shami,57 - 0
11,6,2nd,1 L1 W 1 1 1,4,1,5,1,Shikhar Dhawan,28,18,Steven Smith,1,1,Arshdeep Singh,62 - 1
11,7,2nd,1 1 1 0 1 2,6,0,6,0,Shikhar Dhawan,32,21,Steven Smith,3,4,Deepak Hooda,68 - 1
11,8,2nd,1 0 0 1 1 4,7,0,7,0,Shikhar Dhawan,37,25,Steven Smith,5,6,Jalaj Saxena,75- 1
11,9,2nd,1 1 1 4 4 1,12,0,12,0,Shikhar Dhawan,47,29,Steven Smith,7,8,Deepak Hooda,87 - 1
11,10,2nd,2 1 1 0 6 2,12,0,12,0,Shikhar Dhawan,58,34,Steven Smith,8,9,Jhye Richardson,99 - 1
11,11,2nd,L1 1 1 4 1 W,7,1,8,1,Shikhar Dhawan,64,37,Steven Smith,9,12,Riley Meredith,107 - 2
11,12,2nd,2 0 1 2 1 4,10,0,10,0,Shikhar Dhawan,71,41,Rishabh Pant,3,2,Jalaj Saxena,117 - 2
11,13,2nd,0 1 6 1 0 0,8,0,8,0,Shikhar Dhawan,78,43,Rishabh Pant,4,6,Mohammed Shami,125 - 2
11,14,2nd,4 4 4 Wd5 1 0 0,13,5,18,0,Shikhar Dhawan,91,47,Rishabh Pant,4,8,Riley Meredith,143 - 2
11,15,2nd,1 6 Wd 0 1 W 0,8,1,9,0,Marcus Stoinis,0,1,Rishabh Pant,11,11,Jhye Richardson,152 - 3
11,16,2nd,1 2 1 1 2 1,8,0,8,0,Marcus Stoinis,6,5,Rishabh Pant,13,13,Arshdeep Singh,160 - 3
11,17,2nd,1 N1 4 N 6 4 1 1,18,2,20,0,Marcus Stoinis,22,11,Rishabh Pant,15,15,Mohammed Shami,180 - 3
11,18,2nd,W 1 0 4 2 1,8,0,8,0,Marcus Stoinis,23,12,Lalit Yadav,7,4,Jhye Richardson,188 - 4
11,19,2nd,N4 1 4,9,1,10,0,Marcus Stoinis,27,13,Lalit Yadav,12,6,Riley Meredith,198 - 4
11,20,2nd,,,,,,,,,,,,,
