matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
10,1,1st,0 N 4 1 0 0 0,5,1,6,0,Devdutt Padikkal,0,3,Virat Kohli,5,4,Harbhajan Singh,6 - 0
10,2,1st,0 W 1 1 1 W,3,2,5,2,Devdutt Padikkal,2,5,Rajat Patidar,1,2,Varun Chakravarthy,9 - 2
10,3,1st,0 0 0 0 Wd 1 1,2,1,3,0,Devdutt Padikkal,3,10,Glenn Maxwell,1,1,Harbhajan Singh,12 - 2
10,4,1st,4 0 0 1 1 1,7,0,7,0,Devdutt Padikkal,4,11,Glenn Maxwell,7,6,Shakib Al Hasan,19 - 2
10,5,1st,0 4 1 2 0 2,9,0,9,0,Devdutt Padikkal,8,14,Glenn Maxwell,12,9,Pat Cummins,28 - 2
10,6,1st,6 1 4 1 4 1,17,0,17,0,Devdutt Padikkal,13,16,Glenn Maxwell,24,13,Shakib Al Hasan,45 - 2
10,7,1st,0 1 N1 4 0 0 1,7,1,8,0,Devdutt Padikkal,14,17,Glenn Maxwell,30,19,Prasidh Krishna,53 - 2
10,8,1st,N 6 4 1 1 1 0,13,1,14,0,Devdutt Padikkal,15,19,Glenn Maxwell,42,24,Varun Chakravarthy,67 - 2
10,9,1st,1 2 1 4 2 1,10,0,10,0,Devdutt Padikkal,18,21,Glenn Maxwell,50,28,Pat Cummins,78 - 2
10,10,1st,1 0 1 0 4 0,6,0,6,0,Devdutt Padikkal,19,23,Glenn Maxwell,55,32,Prasidh Krishna,84 - 2
10,11,1st,0 4 1 4 1 1,11,0,11,0,Devdutt Padikkal,25,27,Glenn Maxwell,60,34,Harbhajan Singh,95 - 2
10,12,1st,W 0 0 1 2 3,6,0,6,1,AB de Villiers,5,2,Glenn Maxwell,61,37,Prasidh Krishna,101 - 3
10,13,1st,1 1 1 1 1 0,5,0,5,0,AB de Villiers,8,5,Glenn Maxwell,63,40,Varun Chakravarthy,106 - 3
10,14,1st,2 1 1 0 1 Wd Wd 4,9,2,11,0,AB de Villiers,12,9,Glenn Maxwell,68,42,Pat Cummins,117 - 3
10,15,1st,0 4 4 1 2 6,17,0,17,0,AB de Villiers,21,13,Glenn Maxwell,76,44,Varun Chakravarthy,134 - 3
10,16,1st,1 1 0 4 4 1,11,0,11,0,AB de Villiers,31,18,Glenn Maxwell,77,45,Prasidh Krishna,145 - 3
10,17,1st,1 0 1 1 0 W,3,0,3,1,AB de Villiers,33,20,Glenn Maxwell,78,49,Pat Cummins,148 - 4
10,18,1st,0 Wd 6 4 2 4 0,16,1,17,0,AB de Villiers,49,26,Kyle Jamieson,0,0,Andre Russell,165 - 4
10,19,1st,0 4 6 1 6 1,18,0,18,0,AB de Villiers,56,28,Kyle Jamieson,11,4,Harbhajan Singh,183 - 4
10,20,1st,4 6 2 Wd 4 0 4,20,1,21,0,AB de Villiers,76,34,Kyle Jamieson,11,4,Andre Russell,204 - 4
10,1,2nd,0 1 Wd 4 0 0 1,6,1,7,0,Shubman Gill,5,4,Nitish Rana,1,2,Mohammed Siraj,7 - 0
10,2,2nd,4 0 6 6 W 4,20,0,20,1,Rahul Tripathi,4,1,Nitish Rana,1,2,Kyle Jamieson,27 - 1
10,3,2nd,1 0 0 0 1 0,2,0,2,0,Rahul Tripathi,5,5,Nitish Rana,2,4,Yuzvendra Chahal,29 - 1
10,4,2nd,4 0 1 1 0 1,7,0,7,0,Rahul Tripathi,11,10,Nitish Rana,3,5,Washington Sundar,36 - 1
10,5,2nd,4 0 4 0 0 1,9,0,9,0,Rahul Tripathi,20,16,Nitish Rana,3,5,Mohammed Siraj,45 - 1
10,6,2nd,1 6 1 4 0 W,12,0,12,1,Rahul Tripathi,25,20,Nitish Rana,10,7,Washington Sundar,57 - 2
10,7,2nd,1 4 0 4 W 1,10,0,10,1,Eoin Morgan,2,2,Dinesh Karthik,0,0,Yuzvendra Chahal,67 - 3
10,8,2nd,Wd2 1 1 0 1 0 1,4,2,6,0,Eoin Morgan,4,5,Dinesh Karthik,2,3,Washington Sundar,73 - 3
