matchno,over no,ing,perballscore,runsbybatsman,extraruns,total run scored,noofwicketsfall,batsman1,batsman1runs,batsman1playedballs,batsman2,batsman2runs,batsman2playedballs,bowler,matchscore
10,9,2nd,1 0 W 0 1 0,2,0,2,1,Eoin Morgan,5,7,Shakib Al Hasan,1,2,Yuzvendra Chahal,75 - 4
10,10,2nd,0 1 4 1 1 1,8,0,8,0,Eoin Morgan,11,10,Shakib Al Hasan,3,5,Washington Sundar,83 - 4
10,11,2nd,1 1 6 0 1 1,10,0,10,0,Eoin Morgan,19,14,Shakib Al Hasan,5,7,Glenn Maxwell,93 - 4
10,12,2nd,1 0 1 1 1 1,5,0,5,0,Eoin Morgan,21,17,Shakib Al Hasan,8,10,Harshal Patel,98 - 4
10,13,2nd,6 1 0 6 1 0,14,0,14,0,Eoin Morgan,28,20,Shakib Al Hasan,15,13,Glenn Maxwell,112 - 4
10,14,2nd,0 1 1 W 0 1,3,0,3,1,Andre Russell,0,0,Shakib Al Hasan,17,16,Harshal Patel,115 - 5
10,15,2nd,1 0 1 0 4 0,6,0,6,0,Andre Russell,1,2,Shakib Al Hasan,22,10,Kyle Jamieson,121 - 5
10,16,2nd,0 1 1 1 1 1,5,0,5,0,Andre Russell,4,6,Shakib Al Hasan,24,22,Harshal Patel,126 - 5
10,17,2nd,6 4 4 4 1 1,20,0,20,0,Andre Russell,23,11,Shakib Al Hasan,25,23,Yuzvendra Chahal,146 - 5
10,18,2nd,1 6 Wd 1 W 6 W,14,1,15,2,Andre Russell,30,13,Pat Cummins,6,2,Kyle Jamieson,161 - 7
10,19,2nd,0 0 0 0 0 1,1,0,1,0,Andre Russell,31,19,Harbhajan Singh,0,0,Mohammed Siraj,162 - 7
10,20,2nd,W 0 1 1 1 1,4,0,4,1,Varun Chakravarthy,2,3,Harbhajan Singh,2,2,Harshal Patel,166 - 8
